"start","end","Type_of_setlement","Type_of_Host_Community","Sanitation_type","Type_of_Service","Public_Latrines:Sex_segregated","Public_Latrines:Lighting","Slab","Ventilated","Construction_Details:Durable_Structure","Construction_Details:Wall_and_Roof","Construction_Details:Door","meta:instanceID"
"2019-11-18 11:04:42.196","2019-11-18 18:49:50.1","refugee_camp",,"communal_servi","educational_center",,,"yes","no","yes","yes","yes","uuid:e1e74f43-a704-40ff-bb5b-1f46c4f8a4be"
"2019-11-18 09:27:26.651","2019-11-18 18:54:04.072","refugee_camp",,"communal_servi","educational_center",,,"yes","yes","yes","yes","yes","uuid:0455afbb-aa42-44b8-8fa9-d9b466831476"
"2019-11-16 12:19:03.763","2019-11-18 23:34:36.982","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","no","uuid:2da3b97d-b88f-4878-afbb-1b9598f6fd21"
"2019-11-16 13:20:45.655","2019-11-18 23:40:20.601","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:fb5f3466-d3f7-49e6-9b9c-9afb8ee0f427"
"2019-11-20 10:25:13.032","2019-11-20 14:30:41.15","refugee_camp",,"communal_servi","health_center",,,"yes","yes","yes","yes","yes","uuid:e4e8fcb6-c3ad-4c74-a2ca-597215bba6c8"
"2019-11-21 10:53:50.252","2019-11-21 10:54:52.07","refugee_camp",,"communal_servi","educational_center",,,"yes","no","yes","yes","no","uuid:c1aeeea2-6d94-4db4-b72d-501ed1c76edf"
"2019-11-21 11:20:36.832","2019-11-22 23:49:10.747","refugee_camp",,"communal_servi","educational_center",,,"yes","yes","yes","yes","yes","uuid:aa3535a4-9247-437b-bf83-322178210a05"
"2019-11-26 10:31:47.2","2019-11-26 14:18:19.344","refugee_camp",,"residential_ho",,,,"no",,"no",,,"uuid:950bf86e-5adf-47a2-b70e-0a236b9f9d16"
"2019-11-26 10:48:51.568","2019-11-26 14:21:33.181","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:29d00fa4-9305-4683-b7bc-28b02d565ec8"
"2019-11-26 11:06:52.952","2019-11-26 14:24:54.457","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:cba33984-bc9e-4b99-a824-a041a28d6cea"
"2019-11-26 12:47:14.569","2019-11-26 14:25:44.701","refugee_camp",,"residential_ho",,,,"yes","no","yes","yes","yes","uuid:13968536-969f-4f89-8b5e-163125928ecc"
"2019-11-26 11:19:46.304","2019-11-26 11:20:14.885","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:7b0801ea-ac5a-45a4-93ad-0d14ac5e726e"
"2019-11-26 11:41:50.12","2019-11-26 11:43:36.278","refugee_camp",,"residential_ho",,,,"no",,"yes","yes","yes","uuid:bec01da9-967a-4c51-b18a-7d03f966ffa9"
"2019-11-26 12:01:14.696","2019-11-26 12:01:31.325","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:c9ce5937-c3d2-4d20-b403-20f982df7c8e"
"2019-11-26 12:29:52.676","2019-11-26 12:33:55.281","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:3836836d-5196-4dde-ac0d-de3ad690aedf"
"2019-11-09 12:50:10.864","2019-11-09 12:50:43.702","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:2d670ae7-59f8-4039-87b4-fdaafa863b58"
"2019-11-26 17:44:31.28","2019-11-26 17:46:12.409","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","no","uuid:98dc8d40-7f31-4053-b7f4-57f8e91b3b91"
"2019-11-26 18:22:48.545","2019-11-26 18:23:11.318","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","no","uuid:c40c4373-57b8-4b3e-aeef-27a295a9edb9"
"2019-11-26 18:35:13.028","2019-11-26 18:35:33.311","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","no","uuid:561985d0-beff-42c6-a654-daf3b655a168"
"2019-11-26 18:46:08.163","2019-11-26 18:46:59.054","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:cc3189aa-1c68-4180-b45b-eb1a6f6b4593"
"2019-11-27 10:55:14.919","2019-11-27 10:56:28.396","refugee_camp",,"communal_servi","educational_center",,,"yes","yes","yes","yes","yes","uuid:b53b8ff3-0fd6-4c66-985c-f085c43ff29a"
"2019-11-27 11:33:49.559","2019-11-27 11:34:08.287","refugee_camp",,"communal_servi","educational_center",,,"yes","yes","yes","yes","yes","uuid:f35d957e-630c-409f-ab64-6e14ae151e3d"
"2019-11-27 11:51:24.635","2019-11-27 11:51:57.045","refugee_camp",,"communal_servi","health_center",,,"yes","yes","yes","yes","yes","uuid:5d244ccf-8dda-4030-b7d4-452a89c9fe82"
"2019-11-27 17:21:04.949","2019-11-27 17:22:59.872","refugee_camp",,"communal_servi","health_center",,,"yes","yes","yes","yes","yes","uuid:e42ed2a5-5282-4da0-bf0d-b6ebf78b7e3d"
"2019-11-27 17:42:18.072","2019-11-27 17:43:20.483","refugee_camp",,"residential_ho",,,,"yes","no","yes","yes","yes","uuid:bfafb952-5ae4-4af1-916d-387502fcd7c3"
"2019-11-29 18:05:27.096","2019-11-29 18:22:42.145","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:82a9a4d5-e4fe-4a66-9245-b631f4ed114f"
"2019-11-29 18:39:13.865","2019-11-29 18:39:36.026","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:5bfbea2a-9c45-432a-8787-72779ad96032"
"2019-11-29 18:47:39.926","2019-11-29 18:47:58.022","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","no","uuid:b325428b-87a6-4f41-bf90-e315bba2cef3"
"2019-12-02 18:24:17.265","2019-12-02 18:24:38.47","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","yes","uuid:d9f2908c-3ee0-4182-b15c-09a4f5af3e1d"
"2019-11-26 18:08:37.724","2019-11-26 18:08:54.01","refugee_camp",,"residential_ho",,,,"no",,"no",,,"uuid:9b1e229d-ea31-436c-ad5a-752dffeb082e"
"2019-11-27 17:58:06.938","2019-11-27 18:02:19.362","refugee_camp",,"residential_ho",,,,"yes","yes","yes","yes","no","uuid:aa9a932b-5952-4209-b6d7-dc6f6afadd0a"
"2020-03-26 12:04:00.22","2020-03-26 12:06:36.385","refugee_camp",,"public",,"yes","yes","yes","yes","yes","yes","yes","uuid:e5fe65fb-db3e-49f2-b01e-2ae238391907"
"2020-03-26 12:06:42.56","2020-03-26 12:06:58.405","host_comunity","hostcommunityA","residential_ho",,,,"yes",,"yes","yes",,"uuid:cf3ca11e-f137-479f-8807-a636fb28062a"
"2020-03-26 12:07:02.188","2020-03-26 12:07:16.407","refugee_camp",,"communal_servi","educational_center",,,"yes",,,,,"uuid:e77743ea-2752-40ff-ab38-a8aa9934be3c"
"2020-03-26 12:07:20.473","2020-03-26 12:07:28.557","host_comunity","hostcommunityA","commercial",,,,,,,,,"uuid:60f68a10-043b-40e2-8d2e-769af56b9f13"
"2019-10-18 18:07:02.326","2019-10-18 18:07:28.955","host_comunity","hostcommunityA","public",,"yes","yes","yes","yes","yes","yes","no","uuid:ebab3e04-13d9-4c9b-ad59-964bd4024e15"
"2019-10-18 18:07:33.601","2019-10-18 18:07:52.641","host_comunity","hostcommunityB","communal_servi","educational_center",,,"no",,"no",,,"uuid:be84a384-d83f-452d-8faa-f1a25b6de929"
"2019-10-18 18:07:58.147","2019-10-18 18:08:15.622","host_comunity","hostcommunityB","residential_ho",,,,"yes","yes","yes","yes","yes","uuid:fef77707-02ff-411c-8673-68fe10dec571"
"2020-02-25 11:37:15.903","2020-02-25 11:39:23.995","refugee_camp",,"public",,"no","yes",,,,,,"uuid:7f3f3f61-c61a-4861-8768-54d6b0c1fcf3"
"2020-03-24 20:42:48.266","2020-03-24 20:47:33.829","refugee_camp",,"communal_servi","educational_center",,,"yes","no","no",,,"uuid:1e3c16f8-9741-4037-8bdd-c3c4c1c28fc1"
"2020-03-24 20:50:19.656","2020-03-24 20:50:49.599","host_comunity","hostcommunityA","communal_servi","educational_center",,,,,,,,"uuid:6cf8b9a8-cb4f-40d5-aa89-1ebc76fbf189"
"2020-03-24 20:51:13.218","2020-03-24 20:51:21.869","refugee_camp",,,,,,,,,,,"uuid:bb2f0211-b964-4e48-9a60-de407c7dc939"
"2020-03-24 20:51:46.461","2020-03-24 20:52:14.068","refugee_camp",,"communal_servi","health_center",,,"no",,"Do_not_know",,,"uuid:6e727933-0d54-4b13-8b1e-e23a19f37b0c"
