SubmissionDate,start,end,Type_of_setlement,Name,Type_of_Public_Space,Other_type,group_ab21h98-Map_Number,group_ab21h98-Identification_Code,group_ab21h98-Movile_GPS_localization-Latitude,group_ab21h98-Movile_GPS_localization-Longitude,group_ab21h98-Movile_GPS_localization-Altitude,group_ab21h98-Movile_GPS_localization-Accuracy,group_ab21h98-GPS_Latitude,group_ab21h98-GPS_Longitude,group_ab21h98-GPS_Height,group_ab21h98-General_Picture,group_ab21h98-Detail_Picture,Activities_Public_Areas,Public_space-Other_type_001,Public_space-User_by_age,Public_space-User_by_sex,Public_space-Schedule,Public_space-Quality_conditions,Maintenance_status,Roads-sector_information-Starting_point-Latitude,Roads-sector_information-Starting_point-Longitude,Roads-sector_information-Starting_point-Altitude,Roads-sector_information-Starting_point-Accuracy,Roads-sector_information-GPS-GPS_Latitude_001,Roads-sector_information-GPS-GPS_Longitude_001,Roads-sector_information-GPS-GPS_Height_001,Roads-sector_information-Ending_point-Latitude,Roads-sector_information-Ending_point-Longitude,Roads-sector_information-Ending_point-Altitude,Roads-sector_information-Ending_point-Accuracy,Roads-sector_information-group_gx9qv34-GPS_Latitude_002,Roads-sector_information-group_gx9qv34-GPS_Longitude_002,Roads-sector_information-group_gx9qv34-GPS_Height_002,Roads-Street_Width,Roads-Road_type,Roads-Maintenance_status_001,Roads-Drainage_System,Roads-Drainage_System_001-Drainage_system_picture,Roads-Drainage_System_001-Drainage_system_002,Roads-Drainage_System_001-Ditches_materials,Roads-Drainage_System_001-Other_type_002,Roads-Drainage_System_001-Ditches_dimensions,Roads-Drainage_System_001-Maintenance_status_002,Roads-Uses_and_activies_of_the_roads,Roads-Other_activities_uses,Roads-Safe_urban_desing,Roads-Road_safety_evaluation,Street_lighting,SET-OF-Street_lighting_001,Something_to_add,meta-instanceID,KEY
29/10/2018 7:50:10,23/10/2018 14:57:02,29/10/2018 7:48:31,refugee_camp,"",roads,"",5.2,12,14.1782974900,37.7252383100,1038.0000000000,4.2880000000,"","","",media\1540299489879.jpg,media\1540299528575.jpg,comercial social,"","","","","","",14.1784299000,37.7254618600,1023.0000000000,3.2160000000,"","","","","","","","","","",9,rolled_2_direc,unpaved_road,no,"","","","","","",commercial,"",there_is_stree there_is_no_vi,"",yes,uuid:0a3eef7b-a1dc-4736-a710-f270633a346e/Street_lighting_001,"",uuid:0a3eef7b-a1dc-4736-a710-f270633a346e,uuid:0a3eef7b-a1dc-4736-a710-f270633a346e
29/10/2018 7:51:29,24/10/2018 8:44:32,29/10/2018 7:48:22,refugee_camp,"",roads,"",5.2,107,14.1769154800,37.7255647100,1029.0000000000,4.2880000000,"","","",media\1540363559086.jpg,media\1540363666456.jpg,other,"","","","","","","","","","","","","","","","","","","","",3,pedestrian,unpaved_road,no,"","","","","","",stay,"","","",no,"",Open space also associated,uuid:22b74fc5-4622-451e-a5fc-7e050f847e2f,uuid:22b74fc5-4622-451e-a5fc-7e050f847e2f
29/10/2018 7:53:06,24/10/2018 15:37:18,29/10/2018 7:48:10,host_comunity,Shimelba,other,Open public space,4.2,402,14.1778910200,37.7203114600,1055.0000000000,4.2880000000,"","","",media\1540388324419.jpg,media\1540388436099.jpg,entertainment sport,"",children teenager,men,earlu_morning afternoon,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"",Playing football,uuid:e82ae1e9-4c60-4d7e-a782-de60ac5c86e7,uuid:e82ae1e9-4c60-4d7e-a782-de60ac5c86e7
29/10/2018 10:00:46,02/01/2015 18:46:07,29/10/2018 9:50:49,refugee_camp,"",roads,"",2.2,206,14.1757234129,37.7232575501,1024.2527220109,20.0000000000,"","","",media\1420220809450.jpg,media\1420220824471.jpg,"","","","","","","","","","","","","","","","","","","","","",3,pedestrian,unpaved_road,no,"","","","","","","","",there_is_no_vi,"","","","",uuid:6b7c3fea-d53e-4a8a-ba9c-b5a2fc1ec60d,uuid:6b7c3fea-d53e-4a8a-ba9c-b5a2fc1ec60d
29/10/2018 10:01:02,02/01/2015 19:54:36,29/10/2018 9:51:00,refugee_camp,"",roads,"",2.3,212,14.1739182228,37.7242066926,1014.7761738636,20.0000000000,"","","",media\1420224927211.jpg,media\1420224936215.jpg,comercial,"","","","","","","","","","","","","","","","","","","","",10-12,rolled_2_direc,unpaved_road,no,"","","","","","",commercial other_uses stay,Water point,there_is_no_vi there_is_stree there_are_diss,"",yes,"","Spaces to Stay, privates",uuid:4a9981e9-fd69-4b0a-9fe3-19aff5e04322,uuid:4a9981e9-fd69-4b0a-9fe3-19aff5e04322
29/10/2018 10:01:06,02/01/2015 20:06:35,29/10/2018 9:51:09,refugee_camp,"",roads,"",2.3,"",14.1743124179,37.7240941616,1025.7989350688,25.0000000000,"","","",media\1420225625558.jpg,media\1420225638418.jpg,"","","","","","","","","","","","","","","","","","","","","",3,pedestrian,unpaved_road,no,"","","","","","","","",there_is_no_vi,"",no,"","",uuid:d0bdce90-9f26-4d27-afb6-b86896cccc2b,uuid:d0bdce90-9f26-4d27-afb6-b86896cccc2b
29/10/2018 10:01:12,02/01/2015 20:34:09,29/10/2018 9:51:20,refugee_camp,"",roads,"",2.3,216,14.1721613430,37.7233578776,1019.5976801552,20.0000000000,"","","",media\1420227343217.jpg,media\1420227354716.jpg,"","","","","","","","","","","","","","","","","","","","","",3,rolled_1_direc,unpaved_road,no,"","","","","","","",Communal Kitchen,there_is_no_vi,"",no,"","",uuid:5f6c4c14-1be3-400f-8ff1-13c32d3b2c03,uuid:5f6c4c14-1be3-400f-8ff1-13c32d3b2c03
29/10/2018 10:01:27,02/01/2015 23:56:12,29/10/2018 9:53:19,host_comunity,Close to Shimelba,roads,"",1.2,307,14.1679939572,37.7233295627,1043.1195626063,25.0000000000,"","","",media\1420239468671.jpg,media\1420239487949.jpg,comercial,"","","","","","","","","","","","","","","","","","","","",4,rolled_2_direc,unpaved_road,no,"","","","","","",commercial,"",there_is_no_vi there_is_stree,"",yes,"","",uuid:c9b63dd6-4295-47d5-b9ca-cb3eecc31148,uuid:c9b63dd6-4295-47d5-b9ca-cb3eecc31148
29/10/2018 10:01:29,03/01/2015 0:09:15,29/10/2018 9:53:29,refugee_camp,"",square,"",1.4,311,14.1704094550,37.7231293023,1052.3788388614,10.0000000000,"","","",media\1420240219726.jpg,media\1420240247868.jpg,entertainment other,Playground for children,children,both,"",there_are_no_s,unpaved_road,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Chile den playing,uuid:604951fe-9133-455e-acb4-cc91632e3264,uuid:604951fe-9133-455e-acb4-cc91632e3264
29/10/2018 10:01:34,03/01/2015 1:03:16,29/10/2018 9:53:42,host_comunity,"",square,"",Host,501,14.2146359680,37.7295488845,1040.0979691325,20.0000000000,"","","",media\1420243509883.jpg,media\1420243525034.jpg,comercial social,"",children,both,"",there_are_urba,unpaved_road,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:07f74329-29fd-4f57-a27e-bef046f53666,uuid:07f74329-29fd-4f57-a27e-bef046f53666
05/11/2018 18:41:12,24/10/2018 11:02:56,24/10/2018 11:06:32,refugee_camp,"",other,Lugar de reuniones con.cafe,"","","","","","","","","",media\1540371866892.jpg,media\1540371908710.jpg,social,Reus con cafecito xa cosas importantes,adult,both,earlu_morning,there_are_elem it_is_paved,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",no,"","",uuid:e5e13b79-3430-4949-b55e-3d92e3a143a9,uuid:e5e13b79-3430-4949-b55e-3d92e3a143a9
