SubmissionDate,start,end,username,Type_of_setlement,Name,General_Information-Map_Number,General_Information-Identification_Code,General_Information-General_picture,General_Information-GPS_Localization-Latitude,General_Information-GPS_Localization-Longitude,General_Information-GPS_Localization-Altitude,General_Information-GPS_Localization-Accuracy,General_Information-GPS_Latitude,General_Information-GPS_Longitude,General_Information-GPS_Height,shelter_definition-Type_of_shelter,shelter_definition-Improved_house,shelter_definition-Plot_dimensions_Leght,shelter_definition-Plot_dimensions_Width,shelter_definition-Boundaries_Materials,shelter_definition-Other_material,shelter_definition-Incremental_housing,shelter_definition-Housing_Ownership,Constructive_materials-Constructive_material_of_Walls,Constructive_materials-Others_walls_material,Constructive_materials-Constructive_material_of_Walls_001,Constructive_materials-Other_roof_materials,Constructive_materials-Constructive_material_of_Walls_002,Constructive_materials-Other_foundation_materials,House_Drainage_System,House_drainage_discharge,Other_Type,Maintenance_Status-Walls_Maintenance,Maintenance_Status-Wall_Picture,Maintenance_Status-Roof_Maintenance,Maintenance_Status-Roof_Picture,Maintenance_Status-Roof_Maintenance_001,Maintenance_Status-Foundation_Picture,Water_supply,Associate_infrastructure_water-Private_water_supply-Private_water_supply_001,Associate_infrastructure_water-Private_water_supply-Type_of_water_supply,Associate_infrastructure_water-Private_water_supply-Power,Associate_infrastructure_water-Private_water_supply-Well_depth,Associate_infrastructure_water-Private_water_supply-Continued_availability_water_tanks,Associate_infrastructure_water-Private_water_supply-Continued_availability,Sanitation_supply,Associate_Infrastructure_Sanit-Private_sanitation-Exterior,Associate_Infrastructure_Sanit-Private_sanitation-Interior,Associate_Infrastructure_Sanit-Private_sanitation-Number_of_letrines,Associate_Infrastructure_Sanit-Private_sanitation-Type_of_latrine_1,Associate_Infrastructure_Sanit-Private_sanitation-Type_of_latrine_2,Associate_Infrastructure_Sanit-Private_sanitation-Type_of_latrine_3,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Washing_Hand,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Insect_screen,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Proper_door,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Suitable_slabs,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Healthiness,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Lighting,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Light_type,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Power_001,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Hygienic_devices_for_women,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Latrine_discharge,Associate_Infrastructure_Sanit-Private_sanitation-Quality_Evaluation-Other_Type_001,Waste_Managment_supply,Associate_Infrastructure_WM-Waste_collection_point_picture,Associate_Infrastructure_Elect-Energy_supply,Associate_Infrastructure_Elect-Interior_lighting_source,Associate_Infrastructure_Elect-Power_002,Associate_Infrastructure_Elect-Others_interior_lighting_source,Associate_Infrastructure_Elect-Number_of_lighting,Associate_Infrastructure_Elect-Swipe_left_to_contin_onsumption_equipment,SET-OF-Associate_Infrastructure_Elect-Equipos_consumo,Economic_activity,Productive_activity-Economic_activity_type,Productive_activity-Other_economical_activities,Private_Garden,Private_garden-Private_garden_picture,Private_garden-Crops,Private_garden-Kind_of_vegetables,Private_garden-Kind_of_fruits,Private_garden-Kind_of_cereals,Private_garden-Garden_type,Private_garden-Water_source,Private_garden-Fertilization_system,Private_garden-Legumes_Details-Kind_of_Legumes,Private_garden-Legumes_Details-Legumes_Times,Private_garden-Legumes_Details-Amount_legumes,Private_garden-Fertilizer_Animals_Details-Kind_of_Animals,Private_garden-Fertilizer_Animals_Details-Animals_Times,Private_garden-Fertilizer_Animals_Details-Amount_Animals,Private_garden-Fertilizer_Synthetic_Details-Kind_of_Synthetic,Private_garden-Fertilizer_Synthetic_Details-Synthetic_Times,Private_garden-Fertilizer_Synthetic_Details-Amount_Synthetic,Private_garden-Other_Fertilizer_Details-Kind_of_Other,Private_garden-Other_Fertilizer_Details-Times_Other,Private_garden-Other_Fertilizer_Details-Amount_Other,Private_Stockyard,PrivateStockyard-Animals,PrivateStockyard-Other_animals,PrivateStockyard-Number_of_animals,PrivateStockyard-Drainage_System,PrivateStockyard-Drainage_discharge,Private_Kitchen,Kitchen-Kitchen_type,Kitchen-Power_004,Kitchen-Other_cooker,Kitchen-Cooking_Area,Shelter_detail_collect,Shelter_details-Shelter_dimensions_leght,Shelter_details-Shelter_dimensions_width,Shelter_details-Shelter_dimensions_diameter,Shelter_details-People_living,Shelter_details-Independent_rooms,Shelter_details-Constructive_consideration-Structural_security,Shelter_details-Constructive_consideration-Waterproof_roof,Shelter_details-Constructive_consideration-Ventilated_roof,Shelter_details-Constructive_consideration-Lumination,Shelter_details-Constructive_consideration-Ventilation,Shelter_details-Constructive_consideration-Mosquito_Net,Shelter_details-Constructive_consideration-Cultural_adaptation,Shelter_details-Constructive_consideration-Thermal_confort,Shelter_details-Constructive_consideration-Protection_elements,Something_to_add,meta-instanceID,KEY
16/10/2018 22:19:17,16/10/2018 22:14:08,16/10/2018 22:19:08,mission2018,refugee_camp,"",1.1,1,media\1539720882298.jpg,"","","","","","","",temporal_shelt,yes,6,3,vegetable,"",yes,"",vegetal mud,"",plastic vegetal,"",don_t_know,"",no,"","",good__reparati,"",bad__reparatio,media\1539721000293.jpg,bad__reparatio,"",no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",no,kerosene,"","",3,OK,"",yes,shop,"",yes,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",no,"","","","",OK,2,2,"",3,1,no,option_2,no,yes,no,no,no,no,no,"",uuid:8c6ceb8a-43a4-4d60-abf4-7387638ce51d,uuid:8c6ceb8a-43a4-4d60-abf4-7387638ce51d
24/10/2018 2:02:28,23/10/2018 14:49:39,23/10/2018 17:22:31,mission2018,refugee_camp,"",5.2,9,media\1540299036203.jpg,"","","","",14,10,41,temporal_shelt,yes,13,4,wood,"",no,"",wood mud earth_bloks,"",plastic vegetal wood,"",plastic,"",yes,sewage,"",good__reparati,"",good__reparati,"",good__reparati,"",no,"","","","","","",yes,"","",1,"","",not_ventilated,"",no,no,"","","","","","",sewage,"",no,"",yes,others,"",Mercury,1,OK,uuid:599b13e0-60dd-4966-8ee0-5454cab664ec/Equipos_consumo,yes,others,Small bar,no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",indoor,OK,15,5,"",2,3,yes,option_1,yes,no,no,no,yes,yes,no,"Light of 5 w. The shelter has plastic over the roof to protect it. The owner doesn't allow to visit the letrine, it is in the terrace.",uuid:599b13e0-60dd-4966-8ee0-5454cab664ec,uuid:599b13e0-60dd-4966-8ee0-5454cab664ec
29/10/2018 7:53:13,25/10/2018 14:56:03,29/10/2018 7:47:24,mission2018,refugee_camp,"","","",media\1540472415585.jpg,14.1706616400,37.7246028700,1034.0000000000,3.2160000000,"","","",permanent_shel,"",10,10,mud,"",yes,"",mud,"",vegetal wood plastic,"",vegetal,"",no,borehole,"",good__reparati,"",bad__reparatio,media\1540472661211.jpg,bad__reparatio,media\1540472700334.jpg,no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",no,solar others,"",Torche,"","","",no,"","",no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",no,"","","","",OK,10,5,"",3,2,no,option_2,no,no,yes,no,yes,no,yes,"",uuid:d4153571-c415-4985-b67b-2a9803f81539,uuid:d4153571-c415-4985-b67b-2a9803f81539
29/10/2018 7:53:54,25/10/2018 15:34:37,29/10/2018 7:47:13,mission2018,refugee_camp,"","","",media\1540474562918.jpg,14.1718641400,37.7245001000,1026.0000000000,3.2160000000,"","","",permanent_shel,"",20,30,vegetable,"",yes,"",mud,"",vegetal wood,"",vegetal,"",no,free_discharge,"",bad__reparatio,media\1540474803781.jpg,bad__reparatio,media\1540474825683.jpg,good__reparati,media\1540474856286.jpg,no,"","","","","","",yes,media\1540474903395.jpg,"",1,single_pit,bored,ventilated,no,no,no,"",no,yes,"Generator, 1 bulb, also torch","",no,sewage_network,"",no,"",yes,grid,"","",1,"","",yes,others,Sell peanuts,no,"","","","","","","","","","","","","","","","","","","","",yes,chicken,"",1,yes,free_discharge,yes,traditional,"","",indoor,"","","","","","","","","","","","","","","","",uuid:85187a32-0eb4-48ce-8378-35386f5a0d19,uuid:85187a32-0eb4-48ce-8378-35386f5a0d19
29/10/2018 7:54:48,26/10/2018 12:35:58,29/10/2018 7:47:03,mission2018,refugee_camp,"","","","",14.1778274500,37.7250164900,1014.0000000000,4.2880000000,"","","",temporal_shelt,yes,"","",mud,"",no,"",mud,"",vegetal wood plastic,"","","",no,free_discharge,"",bad__reparatio,"",bad__reparatio,media\1540550329932.jpg,bad__reparatio,media\1540550361609.jpg,no,"","","","","","",yes,media\1540550393363.jpg,media\1540550419266.jpg,1,single_pit,bored,not_ventilated,no,no,no,no,yes,no,"","",no,free_discharge,"",yes,media\1540550502268.jpg,no,"","","","","","",no,"","",no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,other,"","",outdoor__uncov,OK,13,4,"",4,2,no,option_2,no,no,no,no,yes,yes,yes,"",uuid:54c5c156-6f26-46b4-ae18-0ad3e2a11b35,uuid:54c5c156-6f26-46b4-ae18-0ad3e2a11b35
29/10/2018 10:00:21,02/01/2015 0:30:05,29/10/2018 9:54:16,mission2018,refugee_camp,"",5.2,20,media\1420155266847.jpg,14.1769895461,37.7246888151,1029.8238324365,20.0000000000,"","","",permanent_shel,"",5,10,mud,"",no,"",mud,"",plastic vegetal wood,"",vegetal,"",yes,free_discharge,"",bad__reparatio,media\1420155611677.jpg,good__reparati,"",bad__reparatio,"",no,"","","","","","",yes,media\1420155721161.jpg,media\1420155737511.jpg,1,single_pit,bored,ventilated,no,no,no,"",no,no,"",No,no,sewage_network,"",yes,"",yes,solar,"","",1,"",uuid:d941e0b6-6b18-4f92-b4dd-0db1967a4791/Equipos_consumo,yes,restaurant,"",yes,"","","","","","","","","","","","","","","","","","","","",yes,other,No,0,no,"",yes,traditional,"","",outdoor__cover,OK,2,3,"",2,2,no,option_1,yes,yes,yes,no,yes,yes,yes,"",uuid:d941e0b6-6b18-4f92-b4dd-0db1967a4791,uuid:d941e0b6-6b18-4f92-b4dd-0db1967a4791
29/10/2018 10:01:45,04/01/2015 21:51:36,29/10/2018 9:54:26,mission2018,refugee_camp,"","","",media\1420404825954.jpg,"","","","",14 10 39,37 43 30,1024,temporal_shelt,yes,4,15,mud,"",yes,"",mud,"",plastic vegetal wood,"",don_t_know,"",no,free_discharge,"",bad__reparatio,media\1420404913459.jpg,bad__reparatio,media\1420404940368.jpg,bad__reparatio,"",no,"","","","","","",yes,"","",1,single_pit,bored,not_ventilated,no,no,no,no,yes,no,"","",no,free_discharge,"",yes,"",no,"","","","","","",no,"","",no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",outdoor__uncov,OK,4,13,"","",2,no,"",no,no,no,no,yes,yes,no,"",uuid:647b1ba8-704c-4a61-8cde-4676959bc847,uuid:647b1ba8-704c-4a61-8cde-4676959bc847
29/10/2018 11:01:10,26/10/2018 13:03:26,26/10/2018 13:03:43,mission2018,host_comunity,Shimelba,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:b529f9a5-0116-4188-ae69-3db0752e6865,uuid:b529f9a5-0116-4188-ae69-3db0752e6865
29/10/2018 11:01:11,26/10/2018 13:12:23,26/10/2018 13:12:33,mission2018,refugee_camp,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:8ef4597e-aa85-4194-a468-fe060e28bd45,uuid:8ef4597e-aa85-4194-a468-fe060e28bd45
29/10/2018 11:01:13,26/10/2018 13:12:37,26/10/2018 13:32:01,mission2018,refugee_camp,"","",S2,media\1540552426316.jpg,"","","","",14 10 42,37 43 30,"",temporal_shelt,yes,7,10,vegetable,"",no,"",vegetal,"",plastic vegetal wood,"",don_t_know,"",no,free_discharge,"",bad__reparatio,media\1540552590851.jpg,bad__reparatio,media\1540552608010.jpg,bad__reparatio,"",no,"","","","","","",yes,media\1540552914081.jpg,"",1,single_pit,bored,not_ventilated,no,no,no,no,yes,no,"","",no,borehole,"",no,"",no,grid,"","",1,OK,uuid:8dcffa27-e9e0-4898-972b-2d4a5c2d4db6/Equipos_consumo,no,"","",no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",outdoor__cover,OK,7,4,"",3,2,no,option_2,no,yes,yes,no,yes,yes,yes,Letrinas comartida entre varios.,uuid:8dcffa27-e9e0-4898-972b-2d4a5c2d4db6,uuid:8dcffa27-e9e0-4898-972b-2d4a5c2d4db6
29/10/2018 11:01:21,26/10/2018 13:49:11,26/10/2018 14:13:50,mission2018,refugee_camp,"","",S3,media\1540554635119.jpg,"","","","",14 10 45,37 43 38,1022,temporal_shelt,yes,"","",not_defined,"",yes,"",cement,"",metal_sheet wood,"",vegetal,"",no,free_discharge,"",good__reparati,"",good__reparati,"",good__reparati,"",no,"","","","","","",yes,media\1540554783990.jpg,"",1,twin_pit,bored,ventilated,no,no,yes,yes,no,no,"","",no,borehole,"",no,"",no,"","","","",OK,uuid:841705b0-3ed2-4849-8ffe-54a7db1a4408/Equipos_consumo,no,"","",no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",outdoor__uncov,OK,4,3.5,"","",1,yes,option_1,no,no,no,no,no,yes,yes,NRC houses,uuid:841705b0-3ed2-4849-8ffe-54a7db1a4408,uuid:841705b0-3ed2-4849-8ffe-54a7db1a4408
29/10/2018 11:01:25,26/10/2018 14:19:05,26/10/2018 14:27:35,mission2018,refugee_camp,"","",S4,"","","","","",14 10 39,37 43 32,1032,temporal_shelt,yes,4,5,not_defined,"",no,"",mud,"",plastic vegetal wood,"",vegetal,"",no,free_discharge,"",bad__reparatio,media\1540556537738.jpg,bad__reparatio,media\1540556585082.jpg,bad__reparatio,"",no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",yes,others,"",Diesel,1,"","",yes,shop,"",no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",outdoor__uncov,OK,4,5,"",3,1,no,option_2,no,no,no,no,yes,no,no,"",uuid:494781f0-cbc1-4164-9b38-cd0eb6fbe6ee,uuid:494781f0-cbc1-4164-9b38-cd0eb6fbe6ee
29/10/2018 11:01:28,26/10/2018 14:43:45,26/10/2018 15:01:18,mission2018,refugee_camp,"","",S5,"","","","","",14 10 34,37 43 25,1041,temporal_shelt,yes,"","",mud,"",no,"",mud,"",plastic vegetal wood,"",metal_sheet vegetal,"",yes,free_discharge,"",good__reparati,"",bad__reparatio,"",good__reparati,"",no,"","","","","","",yes,media\1540558020812.jpg,"",1,single_pit,bored,ventilated,yes,no,yes,yes,no,no,"","",no,sewage_network,"",yes,media\1540558708732.jpg,yes,others,"",Diesel,2,OK,"",yes,"","",no,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,traditional,"","",outdoor__uncov,OK,3,5,"",2,1,yes,option_2,no,no,yes,no,yes,yes,yes,Dosviviendas en la misma parcela,uuid:0765f0da-8400-4c2f-9c44-b437f2831299,uuid:0765f0da-8400-4c2f-9c44-b437f2831299
05/11/2018 18:37:45,24/10/2018 9:34:08,05/11/2018 18:12:41,mission2018,refugee_camp,"",5.1,115,media\1540366466608.jpg,"","","","","","","",permanent_shel,"",20,20,vegetable,"",yes,"",mud,"",vegetal plastic wood,"",vegetal,"",no,free_discharge,"",bad__reparatio,media\1540366711908.jpg,bad__reparatio,media\1540366729468.jpg,good__reparati,"",no,"","","","","","",yes,media\1540366761871.jpg,media\1540366773819.jpg,1,single_pit,bored,ventilated,no,no,no,no,no,yes,Linterna,"",no,sewage_network,"",yes,"",no,batteries,"","",1,"","",yes,others,Crop,yes,"","","","","","","","","","","","","","","","","","","","",yes,cow,"",2,yes,free_discharge,yes,traditional,"","",indoor,"","","","","","","","","","","","","","","","",uuid:aad7aa2b-1ff0-4c8f-a44d-df3986678ed7,uuid:aad7aa2b-1ff0-4c8f-a44d-df3986678ed7
05/11/2018 18:40:24,23/10/2018 13:21:31,23/10/2018 13:35:23,mission2018,refugee_camp,"",51,2,media\1540293731211.jpg,"","","","","","","",permanent_shel,"",20,10,vegetable,"",no,"",mud,"",vegetal,"",don_t_know,"",no,"","",good__reparati,"",good__reparati,"",good__reparati,"",no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",no,"","","","","","",yes,"","",yes,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",outdoor__cover,"","","","","","","","","","","","","","","",No,uuid:fa1241ba-cc9a-4e38-8aac-5efd3f2ec642,uuid:fa1241ba-cc9a-4e38-8aac-5efd3f2ec642
05/11/2018 18:41:28,26/10/2018 12:16:17,26/10/2018 12:25:41,mission2018,host_comunity,Shimelba,"","",media\1540549020359.jpg,"","","","","","","","","",8 x 8,8,other,None,yes,titled_propert,others,Stone,metal_sheet,"",vegetal,"",no,borehole,"",good__reparati,"",good__reparati,"",good__reparati,"",no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",no,others,"",Torch,1,OK,uuid:43dd2a90-7a9b-443c-834d-ec14cef0854f/Equipos_consumo,yes,others,Home garden,yes,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",outdoor__uncov,"","","","","","","","","","","","","","","","",uuid:43dd2a90-7a9b-443c-834d-ec14cef0854f,uuid:43dd2a90-7a9b-443c-834d-ec14cef0854f
05/11/2018 18:41:38,26/10/2018 12:33:09,26/10/2018 12:47:14,mission2018,host_comunity,Shimelba,"","",media\1540550043938.jpg,"","","","","","","","","",10,5,wood,"",yes,titled_propert,mud,"",metal_sheet,"",vegetal,"",no,free_discharge,"",bad__reparatio,media\1540550319634.jpg,bad__reparatio,media\1540550393815.jpg,bad__reparatio,media\1540550431724.jpg,no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",no,solar,"","",1,OK,uuid:c3ca0851-55ae-487e-90d6-158c526f003a/Equipos_consumo,yes,canteen,"",no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,traditional,"","",outdoor__uncov,OK,10,5,"",5,1,"",option_1,yes,no,yes,no,yes,yes,yes,"",uuid:c3ca0851-55ae-487e-90d6-158c526f003a,uuid:c3ca0851-55ae-487e-90d6-158c526f003a
05/11/2018 18:42:12,26/10/2018 13:14:14,26/10/2018 13:30:18,mission2018,refugee_camp,"","","",media\1540552643739.jpg,"","","","","","","",permanent_shel,"",10,10,mud,"",yes,"",mud vegetal plastic,"",vegetal plastic,"",vegetal,"",no,borehole,"",bad__reparatio,media\1540552811830.jpg,bad__reparatio,media\1540552835261.jpg,good__reparati,media\1540552863857.jpg,no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",yes,solar,"","",2,OK,uuid:a73a952a-4051-40cd-ba26-c49c7073161d/Equipos_consumo,yes,others,Subsidios,no,"","","","","","","","","","","","","","","","","","","","",no,"","","","","",yes,improved_stove,"","",outdoor__cover,OK,"","","",4,2,yes,option_1,yes,yes,yes,no,yes,"","","",uuid:a73a952a-4051-40cd-ba26-c49c7073161d,uuid:a73a952a-4051-40cd-ba26-c49c7073161d
05/11/2018 18:42:29,26/10/2018 13:41:44,26/10/2018 13:59:25,mission2018,refugee_camp,"","","",media\1540554161832.jpg,"","","","","","","",permanent_shel,"",30,15,mud,"",yes,"",cement,"",vegetal plastic,"",metal_sheet,"",no,free_discharge,"",good__reparati,"",good__reparati,"",good__reparati,"",no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",no,batteries,"","",2,"","",yes,others,Chicken,yes,"","","","","","","","","","","","","","","","","","","","",yes,chicken,"",4,no,"",yes,traditional,"","",outdoor__uncov,OK,"","","",12,3,yes,option_2,yes,no,no,no,yes,no,yes,"",uuid:f3b70902-939d-4b3f-85e6-aa867136ea9c,uuid:f3b70902-939d-4b3f-85e6-aa867136ea9c
05/11/2018 18:42:43,26/10/2018 14:08:24,26/10/2018 14:20:43,mission2018,refugee_camp,"","","",media\1540555749251.jpg,"","","","","","","",permanent_shel,"",8,5,vegetable,"",yes,"",mud,"",vegetal plastic,"",vegetal,"",no,borehole,"",bad__reparatio,media\1540555865903.jpg,bad__reparatio,media\1540555898791.jpg,bad__reparatio,media\1540555925507.jpg,no,"","","","","","",no,"","","","","","","","","","","","","","","","","",no,"",yes,grid,"","",1,OK,uuid:03d7650d-78eb-4e69-855c-ccf441459d4a/Equipos_consumo,yes,others,Teacher,no,"","","","","","","","","","","","","","","","","","","","",yes,chicken goat,"",6,no,"",yes,traditional,"","",outdoor__cover,OK,"","","",7,"",yes,option_1,yes,yes,yes,no,yes,yes,yes,"",uuid:03d7650d-78eb-4e69-855c-ccf441459d4a,uuid:03d7650d-78eb-4e69-855c-ccf441459d4a
05/11/2018 18:42:57,26/10/2018 14:33:29,26/10/2018 14:47:34,mission2018,refugee_camp,"","","",media\1540557231752.jpg,"","","","","","","",permanent_shel,"",10,20,wood,"",yes,"",mud,"",vegetal plastic,"",vegetal,"",no,free_discharge,"",bad__reparatio,media\1540557458640.jpg,bad__reparatio,media\1540557480649.jpg,good__reparati,media\1540557510984.jpg,no,"","","","","","",yes,media\1540557548295.jpg,"",1,single_pit,bored,ventilated,no,no,no,no,no,yes,Bulb,"",no,sewage_network,"",no,"",yes,others,"",Generator,1,"","",yes,shop,"",no,"","","","","","","","","","","","","","","","","","","","",yes,chicken goat,"",5,no,"",yes,traditional,"","",indoor,OK,"","","",6,2,no,option_1,no,yes,yes,no,yes,no,yes,"",uuid:4257612a-3d6e-4568-a0cf-62b172a4206c,uuid:4257612a-3d6e-4568-a0cf-62b172a4206c
